a 23363
abandoned 25
abel 20
ability 74
able 216
aboard 25
about 1815
above 296
abroad 51
absence 53
absent 28
absolute 30
absolutely 27
absorbed 24
abstract 34
academic 56
academy 24
accept 72
acceptable 21
acceptance 49
accepted 96
accepting 21
access 24
accident 33
accompanied 37
accomplish 24
accomplished 44
accordance 20
according 139
accordingly 31
account 117
accounts 38
accuracy 36
accurate 35
accurately 24
accused 25
achieve 51
achieved 62
achievement 65
achievements 19
acquire 27
acquired 26
acres 44
across 282
act 283
acting 61
action 291
actions 68
active 88
activities 115
activity 116
actor 24
acts 39
actual 100
actually 166
ad 20
adam 44
adams 45
add 88
added 172
adding 22
addition 142
additional 120
address 77
addressed 19
addresses 21
adequate 66
adjusted 33
adjustment 35
adjustments 20
administration 161
administrative 53
admission 33
admit 37
admitted 44
adopted 45
adult 25
adults 23
advance 60
advanced 52
advantage 73
advantages 28
advertising 50
advice 51
advised 33
advisory 24
aesthetic 26
affair 33
affairs 84
affect 35
affected 36
affects 19
afford 40
afraid 57
africa 45
african 28
after 1070
afternoon 106
again 578
against 626
age 227
agencies 62
agency 56
agent 44
agents 39
ages 51
ago 246
agree 51
agreed 81
agreement 106
agricultural 38
agriculture 23
ah 23
ahead 109
aid 135
aids 27
aim 37
aimed 24
ain't 46
air 257
aircraft 70
airport 19
al 27
alabama 20
alaska 22
albert 29
alec 25
alert 33
alex 30
alexander 45
alfred 52
alienation 22
alike 20
alive 57
all 3001
allen 20
alliance 20
allied 29
allies 30
allotment 39
allow 72
allowances 25
allowed 86
allowing 31
allows 19
almost 432
alone 195
along 355
already 273
also 1069
altered 22
alternative 34
although 319
altogether 30
always 458
am 274
amateur 25
amazing 20
ambassador 22
ambiguous 22
amendment 23
america 194
america's 22
american 569
americans 93
among 370
amount 172
amounts 44
an 3748
analysis 108
ancient 69
and 28854
andy 33
angeles 50
angels 24
anger 48
angle 51
anglo-saxon 22
angry 45
animal 68
animals 58
ann 29
anne 42
anniversary 21
announced 88
announcement 24
annual 93
anode 77
another 684
answer 152
answered 67
answers 44
anti-semitism 23
anti-trust 26
anticipated 23
anticipation 20
anxiety 42
anxious 29
any 1345
anybody 42
anyhow 20
anyone 140
anything 280
anyway 46
anywhere 39
apart 57
apartment 81
apparatus 29
apparent 57
apparently 125
appeal 62
appeals 19
appear 118
appearance 57
appeared 135
appears 83
application 68
applications 25
applied 106
apply 56
applying 29
appointed 42
appointment 28
appreciate 26
appreciation 22
approach 123
approached 45
approaches 25
approaching 27
appropriate 68
approval 51
approved 40
approximately 71
april 71
arbitrary 22
arc 41
architect 22
are 4394
area 323
areas 237
aren't 36
argue 29
argued 29
argument 63
arise 28
aristotle 22
arkansas 19
arlene 26
arm 94
armed 60
arms 121
army 132
arnold 20
around 561
aroused 20
arranged 44
arrangement 34
arrangements 38
arrest 19
arrested 19
arrival 23
arrive 24
arrived 62
art 208
artery 46
arthur 51
article 68
articles 31
artist 57
artistic 33
artists 61
arts 66
as 7251
asia 44
aside 67
ask 128
asked 398
asking 67
asleep 30
aspect 47
aspects 64
assembled 24
assembly 50
assessment 23
assessors 20
assigned 53
assignment 62
assist 26
assistance 87
assistant 36
associate 21
associated 61
association 132
associations 30
assume 63
assumed 72
assumption 41
assumptions 23
assure 37
assured 39
astronomy 24
at 5377
atlanta 35
atlantic 40
atmosphere 79
atom 37
atomic 46
atoms 41
attached 25
attack 105
attacked 25
attacks 22
attain 20
attempt 95
attempted 33
attempting 23
attempts 38
attend 54
attended 36
attending 23
attention 179
attitude 107
attitudes 48
attorney 65
attract 19
attracted 25
attractive 39
audience 115
aug 25
august 53
aunt 22
authentic 20
author 46
authorities 39
authority 93
authorized 37
authors 24
auto 22
automatic 40
automatically 36
automobile 50
automobiles 24
autumn 22
availability 21
available 245
avenue 46
average 130
avoid 58
avoided 19
awake 20
award 46
aware 84
awareness 32
away 456
axis 38
b'dikkat 21
baby 62
back 967
backed 24
background 67
backward 22
bad 142
badly 34
bag 42
baker 36
balance 90
balanced 22
ball 110
ballet 45
baltimore 22
band 53
bang-jensen 25
bank 83
banks 37
bar 83
bare 29
barely 31
barn 29
barrel 24
bars 40
barton 25
base 91
baseball 57
based 119
basement 31
bases 23
basic 171
basically 20
basis 184
bath 26
battle 87
bay 57
bc 20
be 6376
beach 61
beam 21
bear 57
beard 26
bearing 25
bears 26
beat 68
beautiful 127
beauty 71
became 246
because 883
become 361
becomes 102
becoming 57
bed 127
bedroom 52
beef 32
been 2473
beer 34
before 1016
began 312
begin 84
beginning 164
begins 55
begun 51
behalf 21
behavior 96
behind 258
being 712
beings 36
belgians 21
belief 64
beliefs 23
believe 200
believed 77
believes 43
belly 23
belong 37
belongs 22
below 145
belt 29
ben 21
bench 35
bend 24
beneath 57
benefit 63
benefits 33
bent 34
berlin 74
beside 78
besides 66
best 351
bet 20
better 414
between 730
beyond 175
bible 59
bid 22
big 360
bigger 34
biggest 24
bill 143
billion 65
bills 47
billy 26
binding 20
binomial 36
biological 20
bird 31
birds 59
birth 66
bit 101
bitter 53
black 203
blame 34
blanche 25
blanket 30
blind 47
block 66
blocks 37
blonde 20
blood 121
blow 33
blue 143
blues 22
board 239
boards 47
boat 72
boating 23
boats 51
bob 40
bobbie 22
bobby 23
bod 20
bodies 64
body 276
bold 21
bomb 36
bombers 23
bombs 35
bond 46
bonds 47
bone 33
bones 20
book 197
books 96
boots 20
borden 20
border 20
bore 24
born 113
boss 20
boston 61
both 730
bother 22
bottle 76
bottom 88
bought 56
bound 42
bowl 23
box 70
boy 242
boys 146
brain 45
branch 33
branches 33
brannon 29
brave 24
bread 41
break 88
breakfast 53
breaking 25
breath 53
breathing 21
brick 19
bride 33
bridge 98
bridges 26
bridget 21
brief 73
briefly 38
bright 87
brilliant 50
bring 158
bringing 38
brings 40
britain 55
british 118
broad 84
broadway 24
broke 72
broken 63
bronchial 29
brooklyn 28
brother 73
brothers 43
brought 253
brown 176
brown's 23
brush 44
brushed 20
buck 20
budget 59
build 86
builder 29
builders 29
building 160
buildings 76
built 103
bullet 28
bullets 21
bundle 20
burden 44
bureau 43
burned 40
burning 50
burns 23
burst 33
bus 34
business 393
businesses 19
busy 58
but 4381
butter 27
buy 70
buying 30
by 5307
cabin 23
cady 27
cafe 20
calculated 35
calendar 28
calif 19
california 65
call 188
called 401
calling 45
calls 70
calm 35
came 622
camera 36
camp 75
campaign 81
campus 33
can 1772
can't 169
canada 34
cancer 25
candidate 34
candidates 39
cannot 258
cap 27
capabilities 22
capable 66
capacity 83
cape 20
capital 85
capitol 22
captain 85
car 274
carbon 31
card 26
cards 36
care 162
career 67
careful 62
carefully 87
carl 41
carleton 29
carolina 25
carried 125
carries 22
carry 88
carrying 71
cars 111
case 362
cases 148
casey 23
cash 36
cast 45
castro 32
casual 22
cat 23
catch 43
categories 24
category 23
catholic 84
catholics 34
cathy 20
cattle 97
caught 98
cause 130
caused 90
causes 58
cavalry 26
ceiling 31
cell 66
cellar 26
cells 81
cent 158
center 224
centers 52
central 164
cents 25
centuries 46
century 207
certain 313
certainly 143
certainty 21
chain 50
chair 66
chairman 67
chairs 23
challenge 36
chamber 46
champion 23
chance 131
chances 24
chandler 32
change 240
changed 95
changes 131
changing 44
channels 23
chapel 20
chapter 74
character 118
characteristic 68
characteristics 52
characterized 21
characters 36
charge 122
charged 57
charges 45
charles 103
charlie 48
charm 26
charming 24
chart 22
charter 33
cheap 24
check 88
checked 31
cheek 20
chemical 60
chest 53
chicago 98
chicken 37
chief 119
chiefly 22
child 213
child's 33
childhood 50
children 355
children's 23
chin 27
china 69
chinese 56
chlorine 33
choice 113
cholesterol 21
choose 50
chose 37
chosen 71
christ 97
christ's 20
christian 144
christianity 31
christmas 27
church 348
churches 96
cigarette 25
circle 60
circles 32
circuit 23
circular 21
circumstances 84
cited 24
cities 107
citizen 30
citizens 88
city 394
city's 21
civic 23
civil 91
civilian 24
civilization 42
claim 98
claimed 35
claims 74
clarity 28
clark 35
class 209
classes 85
classic 36
classical 33
classification 21
clay 100
clayton 27
clean 70
cleaning 37
clear 219
cleared 23
clearly 128
clerk 34
climate 26
climbed 44
clinical 27
clock 20
close 234
closed 106
closely 66
closer 61
closing 28
cloth 43
clothes 89
clothing 20
cloud 28
clouds 38
club 145
clubs 24
co 53
coach 24
coal 32
coast 61
coat 43
coating 36
cocktail 25
code 40
coffee 78
cold 171
colleagues 23
collected 44
collection 84
collective 32
college 267
colleges 39
colonel 37
colonial 21
colony 28
color 143
colored 31
colorful 21
colors 51
column 71
columns 36
combat 27
combination 57
combined 40
come 630
comedy 39
