ACCESS 24
AHEAD 109
ASK 128
ASPECTS 64
AVOIDED 19
Abel 20
Academy 24
Acres 44
Acting 61
Actually 166
Adam 44
Adams 45
Administrative 53
Advisory 24
Affairs 84
Africa 45
African 28
Agency 56
Ah 23
Aircraft 70
Al 27
Alabama 20
Alaska 22
Albert 29
Alec 25
Alex 30
Alexander 45
Alfred 52
Allen 20
Amateur 25
Ambassador 22
America 194
America's 22
American 569
Americans 93
Andy 33
Angeles 50
Angels 24
Anglo-Saxon 22
Ann 29
Anne 42
Another 684
Apart 57
Appeals 19
April 71
Aristotle 22
Arkansas 19
Arlene 26
Army 132
Arnold 20
Art 208
Arthur 51
Arts 66
Asia 44
Assembly 50
Associated 61
Association 132
Associations 30
Atlanta 35
Atlantic 40
Aug 25
August 53
Authority 93
Avenue 46
B'dikkat 21
BC 20
BINOMIAL 36
BOATING 23
BOD 20
BONDS 47
BUILDINGS 76
Baker 36
Ballet 45
Baltimore 22
Bang-Jensen 25
Bar 83
Barton 25
Bay 57
Beam 21
Bears 26
Belgians 21
Belt 29
Ben 21
Bend 24
Berlin 74
Besides 66
Bible 59
Billy 26
Bird 31
Birds 59
Blanche 25
Blue 143
Board 239
Bob 40
Bobbie 22
Bobby 23
Bombers 23
Boots 20
Borden 20
Boston 61
Bowl 23
Box 70
Brain 45
Branch 33
Brannon 29
Bridget 21
Britain 55
British 118
Broadway 24
Brooklyn 28
Brothers 43
Brown 176
Brown's 23
Buck 20
Builders 29
CAFE 20
CATCH 43
CHICKEN 37
CHOLESTEROL 21
CLAIMS 74
CLEARED 23
COMMENTS 30
CONSTANT 71
CONSTRUCTION 95
CONTRIBUTIONS 29
CORPORATE 19
CRUCIAL 30
CUSTOMER 27
Cabin 23
Cady 27
Calif 19
California 65
Calling 45
Campus 33
Canada 34
Cancer 25
Cape 20
Capitol 22
Cards 36
Carl 41
Carleton 29
Carolina 25
Casey 23
Castro 32
Catholic 84
Catholics 34
Cathy 20
Cavalry 26
Central 164
Chamber 46
Chandler 32
Chapter 74
Charles 103
Charlie 48
Chicago 98
Chin 27
China 69
Chinese 56
Christ 97
Christ's 20
Christian 144
Christianity 31
Christmas 27
Circle 60
Circuit 23
City 394
Clark 35
Class 209
Clay 100
Clayton 27
Club 145
Clubs 24
Co 53
Coal 32
Coast 61
Commerce 58
Commission 103
Committee 168
Communist 97
Communists 39
Company 290
Competent 21
Congo 57
Congregation 47
Congress 155
Congressman 21
Consequently 31
Constitution 49
Contemporary 63
Continental 19
Contribution 37
Convention 28
Cook 47
Coolidge 26
Cooperation 39
Corps 109
Cotton 38
County 155
Court 230
Cried 30
Crime 35
Criminal 24
Cromwell 21
Cross 55
Crystal 23
Cuba 47
Cuban 19
Cup 45
DC 29
DECISIONS 54
